EventID,Timestamp,Time,Direction,Coord1,Coord2,Direction2,Coord3,Coord4
26442,345240635,1732262922.968759,'Left',68.82426071581268,-154.349289,,,
26443,345249477,1732262922.978813,'Left',63.57483926369167,-156.742569,,,
26444,345257482,1732262922.985826,'Left',56.430680415010826,-159.110291,,,
26445,345265722,1732262922.994719,'Left',50.338957590222485,-162.18808,,,
26446,345274189,1732262923.003718,'Left',45.09505368128115,-166.064514,,,
26447,345282590,1732262923.011133,'Left',41.065235838753125,-168.680695,,,
26448,345290984,1732262923.019322,'Left',38.0446369307435,-170.787949,,,
26449,345299431,1732262923.028672,'Left',35.88757584856572,-172.468597,,,
26450,345307762,1732262923.037208,'Left',33.54496660704145,-174.423538,,,
26451,345316081,1732262923.044738,'Left',30.968623344138646,-176.30806,,,
26452,345324481,1732262923.052732,'Left',28.14442902037156,-178.180664,,,
26453,345332931,1732262923.061389,'Left',25.345864780400035,-180.013931,,,
26454,345341344,1732262923.069624,'Left',22.754528510002167,-181.419586,,,
26455,345349688,1732262923.078952,'Left',20.37147366938881,-182.549377,,,
26456,345358100,1732262923.087667,'Left',18.483071265586506,-183.637161,,,
26457,345366327,1732262923.094713,'Left',17.184333976089093,-184.33963,,,
26458,345375325,1732262923.103791,'Left',16.008241676199237,-185.047821,,,
26459,345383057,1732262923.1121,'Left',15.25845184534057,-185.793701,,,
26460,345391489,1732262923.11987,'Left',14.101535646383814,-186.038879,,,
26461,345399713,1732262923.128358,'Left',13.252946281988553,-186.180359,,,
26462,345408330,1732262923.137936,'Left',12.561224138908146,-186.293961,,,
26463,345416638,1732262923.145024,'Left',12.19416351859683,-186.256134,,,
26464,345424894,1732262923.152757,'Left',11.871762220334418,-186.303192,,,
26465,345433392,1732262923.161855,'Left',11.36809204023038,-186.36377,,,
26466,345441726,1732262923.170042,'Left',11.274658165588619,-186.374405,,,
26467,345449971,1732262923.178265,'Left',11.250122964956276,-186.248383,,,
26468,345458588,1732262923.188175,'Left',11.251999023428997,-186.035461,,,
26469,345466979,1732262923.196321,'Left',11.561550556464647,-185.813995,,,
26470,345476002,1732262923.20602,'Left',11.7327404835085,-185.534409,,,
26471,345483731,1732262923.212602,'Left',12.150861894850811,-185.226013,,,
26472,345492108,1732262923.221332,'Left',12.864644269357013,-184.823883,,,
26473,345500325,1732262923.22904,'Left',13.576716141896828,-184.211212,,,
26474,345508748,1732262923.237502,'Left',14.195963829053877,-183.601822,,,
26475,345517018,1732262923.246075,'Left',15.01191980949398,-182.779694,,,
26476,345525695,1732262923.254476,'Left',16.16050346050009,-181.702545,,,
26477,345533804,1732262923.262449,'Left',17.799167681463718,-180.620911,,,
26478,345542253,1732262923.271915,'Left',19.943984621172948,-179.461731,,,
26479,345550785,1732262923.27958,'Left',22.467887785660974,-178.280029,,,
26480,345559385,1732262923.288488,'Left',25.89759410496173,-176.928101,,,
26481,345567547,1732262923.296459,'Left',28.68775021383507,-175.646103,,,
26482,345575763,1732262923.304037,'Left',31.432606202275647,-174.115402,,,
26483,345584014,1732262923.312906,'Left',34.31766978453101,-172.693802,,,
26484,345592492,1732262923.321485,'Left',36.05438106078836,-171.496368,,,
26485,345600879,1732262923.329978,'Left',37.89741683041352,-169.842346,,,
26486,345609217,1732262923.338326,'Left',41.418518845093644,-167.724991,,,
26487,345617654,1732262923.346656,'Left',48.390313206696284,-165.234695,,,
26488,345626138,1732262923.354471,'Left',55.26015114116006,-162.649628,,,
